sent_id,word_id,token,cpostag,postag,head,deprel,deps,parent_token,parent_deprel,stem_pos,parent_stem,parent_stem_pos
1,1,once,ADV,RB,2,advmod,1:advmod|2:prep,upon,prep,once_advmod,upon,upon_prep
1,2,upon,ADP,IN,7,prep,2:prep|7:ROOT,was,ROOT,upon_prep,was,was_ROOT
1,3,a,DET,DT,4,det,3:det|4:pobj,time,pobj,a_det,time,time_pobj
1,4,time,NOUN,NN,2,pobj,4:pobj|2:prep,upon,prep,time_pobj,upon,upon_prep
1,6,there,DET,EX,7,expl,6:expl|7:ROOT,was,ROOT,there_expl,was,was_ROOT
1,7,NA,VERB,VBD,0,ROOT,7:ROOT|0:NA,NA,NA,was_ROOT,NA,NA_NA
1,8,a,DET,DT,10,det,8:det|10:nsubj,girl,nsubj,a_det,girl,girl_nsubj
1,9,little,ADJ,JJ,10,amod,9:amod|10:nsubj,girl,nsubj,little_amod,girl,girl_nsubj
1,10,girl,NOUN,NN,7,nsubj,10:nsubj|7:ROOT,was,ROOT,girl_nsubj,was,was_ROOT
1,11,who,PRON,WP,12,nsubj,11:nsubj|12:rcmod,lived,rcmod,who_nsubj,lived,lived_rcmod
1,12,lived,VERB,VBD,10,rcmod,12:rcmod|10:nsubj,girl,nsubj,lived_rcmod,girl,girl_nsubj
1,13,in,ADP,IN,12,prep,13:prep|12:rcmod,lived,rcmod,in_prep,lived,lived_rcmod
1,14,a,DET,DT,15,det,14:det|15:pobj,village,pobj,a_det,village,village_pobj
1,15,village,NOUN,NN,13,pobj,15:pobj|13:prep,in,prep,village_pobj,in,in_prep
1,16,near,ADP,IN,15,prep,16:prep|15:pobj,village,pobj,near_prep,village,village_pobj
1,17,the,DET,DT,18,det,17:det|18:pobj,forest,pobj,the_det,forest,forest_pobj
1,18,forest,NOUN,NN,16,pobj,18:pobj|16:prep,near,prep,forest_pobj,near,near_prep
2,1,whenever,ADV,WRB,3,advmod,1:advmod|3:advcl,went,advcl,whenever_advmod,went,went_advcl
2,2,she,PRON,PRP,3,nsubj,2:nsubj|3:advcl,went,advcl,she_nsubj,went,went_advcl
2,3,went,VERB,VBD,9,advcl,3:advcl|9:ROOT,wore,ROOT,went_advcl,wore,wore_ROOT
2,4,out,ADV,RB,3,advmod,4:advmod|3:advcl,went,advcl,out_advmod,went,went_advcl
2,6,the,DET,DT,8,det,6:det|8:nsubj,girl,nsubj,the_det,girl,girl_nsubj
2,7,little,ADJ,JJ,8,amod,7:amod|8:nsubj,girl,nsubj,little_amod,girl,girl_nsubj
2,8,girl,NOUN,NN,9,nsubj,8:nsubj|9:ROOT,wore,ROOT,girl_nsubj,wore,wore_ROOT
2,9,NA,VERB,VBD,0,ROOT,9:ROOT|0:NA,NA,NA,wore_ROOT,NA,NA_NA
2,10,a,DET,DT,13,det,10:det|13:dobj,cloak,dobj,a_det,cloak,cloak_dobj
2,11,red,ADJ,JJ,12,amod,11:amod|12:nn,riding,nn,red_amod,riding,riding_nn
2,12,riding,NOUN,NN,13,nn,12:nn|13:dobj,cloak,dobj,riding_nn,cloak,cloak_dobj
2,13,cloak,NOUN,NN,9,dobj,13:dobj|9:ROOT,wore,ROOT,cloak_dobj,wore,wore_ROOT
2,15,so,ADP,IN,20,mark,15:mark|20:advcl,called,advcl,so_mark,called,called_advcl
2,16,everyone,NOUN,NN,20,nsubj,16:nsubj|20:advcl,called,advcl,everyone_nsubj,called,called_advcl
2,17,in,ADP,IN,16,prep,17:prep|16:nsubj,everyone,nsubj,in_prep,everyone,everyone_nsubj
2,18,the,DET,DT,19,det,18:det|19:pobj,village,pobj,the_det,village,village_pobj
2,19,village,NOUN,NN,17,pobj,19:pobj|17:prep,in,prep,village_pobj,in,in_prep
2,20,called,VERB,VBD,9,advcl,20:advcl|9:ROOT,wore,ROOT,called_advcl,wore,wore_ROOT
2,21,her,PRON,PRP,20,dobj,21:dobj|20:advcl,called,advcl,her_dobj,called,called_advcl
2,22,little,NOUN,NNP,25,nn,22:nn|25:dep,Hood,dep,little_nn,Hood,Hood_dep
2,23,red,NOUN,NNP,25,nn,23:nn|25:dep,Hood,dep,red_nn,Hood,Hood_dep
2,24,riding,NOUN,NNP,25,nn,24:nn|25:dep,Hood,dep,riding_nn,Hood,Hood_dep
2,25,hood,NOUN,NNP,20,dep,25:dep|20:advcl,called,advcl,hood_dep,called,called_advcl
3,1,one,NUM,CD,2,num,1:num|2:tmod,morning,tmod,one_num,morning,morning_tmod
3,2,morning,NOUN,NN,8,tmod,2:tmod|8:ROOT,asked,ROOT,morning_tmod,asked,asked_ROOT
3,4,little,NOUN,NNP,5,nn,4:nn|5:nn,Red,nn,little_nn,Red,Red_nn
3,5,red,NOUN,NNP,7,nn,5:nn|7:nsubj,Hood,nsubj,red_nn,Hood,Hood_nsubj
3,6,riding,NOUN,NNP,7,nn,6:nn|7:nsubj,Hood,nsubj,riding_nn,Hood,Hood_nsubj
3,7,hood,NOUN,NNP,8,nsubj,7:nsubj|8:ROOT,asked,ROOT,hood_nsubj,asked,asked_ROOT
3,8,NA,VERB,VBD,0,ROOT,8:ROOT|0:NA,NA,NA,asked_ROOT,NA,NA_NA
3,9,her,PRON,PRP$,10,poss,9:poss|10:dobj,mother,dobj,her_poss,mother,mother_dobj
3,10,mother,NOUN,NN,8,dobj,10:dobj|8:ROOT,asked,ROOT,mother_dobj,asked,asked_ROOT
3,11,if,ADP,IN,14,mark,11:mark|14:advcl,go,advcl,if_mark,go,go_advcl
3,12,she,PRON,PRP,14,nsubj,12:nsubj|14:advcl,go,advcl,she_nsubj,go,go_advcl
3,13,could,VERB,MD,14,aux,13:aux|14:advcl,go,advcl,could_aux,go,go_advcl
3,14,go,VERB,VB,8,advcl,14:advcl|8:ROOT,asked,ROOT,go_advcl,asked,asked_ROOT
3,15,to,PRT,TO,16,aux,15:aux|16:xcomp,visit,xcomp,to_aux,visit,visit_xcomp
3,16,visit,VERB,VB,14,xcomp,16:xcomp|14:advcl,go,advcl,visit_xcomp,go,go_advcl
3,17,her,PRON,PRP$,18,poss,17:poss|18:dobj,grandmother,dobj,her_poss,grandmother,grandmother_dobj
